Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 41.67      0.60     0.60 16354108     0.00     0.00  ADS_set<val_t, 7ul>::count(val_t const&) const
 12.50      0.78     0.18        6    30.00    41.05  void std::shuffle<__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&>(__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&)
 11.11      0.94     0.16 35341462     0.00     0.00  ADS_set<val_t, 7ul>::last_n_bits(val_t const&, unsigned int const&) const
  5.56      1.02     0.08  2091363     0.00     0.00  ADS_set<val_t, 7ul>::insert(val_t const&)
  4.17      1.08     0.06  4107424     0.00     0.00  ADS_set<val_t, 7ul>::add(val_t const&)
  3.13      1.13     0.05  3045978     0.00     0.00  ADS_set<val_t, 7ul>::find(val_t const&) const
  2.78      1.17     0.04      600     0.07     0.10  test_insert_iter(ADS_set<val_t, 7ul>&, std::set<val_t, std::less<val_t>, std::allocator<val_t> >&, unsigned long, unsigned long, std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&)
  2.08      1.20     0.03  3203500     0.00     0.00  unsigned long std::uniform_int_distribution<unsigned long>::operator()<std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul> >(std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&, std::uniform_int_distribution<unsigned long>::param_type const&)
  2.08      1.23     0.03    25956     0.00     0.00  bool std::__equal4<ADS_set<val_t, 7ul>::Iterator, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, std::equal_to<val_t> >(ADS_set<val_t, 7ul>::Iterator, ADS_set<val_t, 7ul>::Iterator, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, std::equal_to<val_t>)
  1.74      1.25     0.03  2049417     0.00     0.00  ADS_set<val_t, 7ul>::erase(val_t const&)
